index,image,caption,Text Retrieval,Image Retrieval,Both image-text retrieval,True Pair Score,False Pair Score,RoBERTa Likelihood,AMR Length,No. of Obj-Relations,Nouns,Verbs,Adjectives
237,118/1.jpg,heart-shaped food on circular wood,True,True,True,0.016,0.014,39.690,5,19,"person, person",kisses,"old, young"
236,118/0.jpg,circular food on heart-shaped wood,False,False,False,0.015,0.015,39.500,5,17,"person, person",kisses,"young, old"
328,164/0.jpg,mind in the clouds,True,True,True,0.020,0.017,40.851,10,23,"person, person",hugs,"taller, shorter"
329,164/1.jpg,clouds in the mind,False,False,False,0.022,0.023,40.730,10,7,"person, person",hugs,"shorter, taller"
191,95/1.jpg,hammering a hand,True,True,True,0.004,0.003,38.233,6,11,"wrestler, wrestler","hits, unmasked",masked
190,95/0.jpg,handing a hammer,False,False,False,0.025,0.026,38.140,8,7,"wrestler, wrestler",hits,"unmasked, masked"
551,275/1.jpg,death of star,True,True,True,0.024,0.026,39.405,3,5,"person, animal",watches,
550,275/0.jpg,star of death,False,False,False,0.019,0.019,38.899,3,5,"animal, person",watches,
566,283/0.jpg,rough outside but smooth inside,True,True,True,0.014,0.011,36.799,7,14,"person, earrings, person, earrings",pays,
567,283/1.jpg,smooth outside but rough inside,False,False,False,0.024,0.032,37.377,8,12,"person, earrings, person, earrings",pays,
146,73/0.jpg,watching the present,True,True,True,0.013,0.017,42.762,3,6,"bird, snake",eats,
147,73/1.jpg,presenting the watch,False,False,False,0.024,0.023,42.226,3,3,"snake, bird",eats,
527,263/1.jpg,poor unfortunate people,True,True,True,0.016,0.014,34.523,9,3,"plant, organism, organism, plant, pieces","was, harmed, broke",
526,263/0.jpg,unfortunate poor people,False,False,False,0.013,0.021,35.675,9,0,"organism, plant, plant, organism, pieces","was, harmed, broke",
305,152/1.jpg,honey holding spoon,False,True,False,0.031,0.029,33.180,3,0,"bottle, water",is,
304,152/0.jpg,spoon holding honey,True,False,False,0.021,0.021,42.331,2,5,"water, bottle",is,
325,162/1.jpg,lights underneath a person,True,True,True,0.022,0.023,41.040,3,6,"tree, car",smashed,
324,162/0.jpg,a person underneath lights,False,False,False,0.031,0.033,42.008,3,9,"car, tree",smashed,
299,149/1.jpg,house boat,True,True,True,0.018,0.019,34.675,3,9,"people, leaves",fall,
298,149/0.jpg,boat house,False,False,False,0.017,0.016,36.813,3,9,"leaves, people",fall,
666,333/0.jpg,fishing for compliments,True,True,True,0.010,0.010,37.618,4,2,"sail, water",rests,
667,333/1.jpg,compliments for fishing,False,False,False,0.029,0.029,35.652,4,4,"water, sail",rests,
198,99/0.jpg,the dog wears as a hat what someone would normally bite,True,True,True,0.011,0.011,32.852,3,20,"table, someone",is,
199,99/1.jpg,the dog bites what someone would normally wear as a hat,False,False,False,0.019,0.020,32.400,3,7,"someone, table",is,
781,390/1.jpg,one bodies share with two head,True,True,True,0.021,0.020,36.063,5,2,"image, computer, top, books",shows,
780,390/0.jpg,two bodies share with one head,False,False,False,0.026,0.027,36.261,5,2,"image, books, top, computer",shows,
789,394/1.jpg,on feet standing,False,True,False,0.024,0.025,41.124,3,7,"caterpillar, plants",,
788,394/0.jpg,standing on feet,True,False,False,0.023,0.025,41.045,4,4,"plant, caterpillars",,
174,87/0.jpg,The uncaged bird has an opened cage door,True,True,True,0.025,0.026,35.627,3,6,"mug, grass",is,
175,87/1.jpg,The caged bird has an unopened cage door,False,False,False,0.030,0.028,33.494,3,9,"grass, mug",is,
473,236/1.jpg,the rest of their body is above the person's head,False,True,False,0.028,0.028,40.131,6,17,"skiers, snowboarders",are,more
472,236/0.jpg,the person's head is above the rest of their body,True,False,False,0.009,0.010,39.547,7,3,"snowboarders, skiers",are,more
353,176/1.jpg,the ball reached the base before the person,True,True,True,0.018,0.019,40.491,4,0,"forks, spoons",are,fewer
352,176/0.jpg,the person reached the base before the ball,False,False,False,0.026,0.025,40.386,4,2,"spoons, forks",are,fewer
74,37/0.jpg,soft shoes are on a smooth floor,True,True,True,0.021,0.013,40.110,4,1,"ladybugs, flowers",are,more
75,37/1.jpg,smooth shoes are on a soft floor,False,False,False,0.012,0.013,39.699,4,0,"flowers, ladybugs",are,more
18,9/0.jpg,people fall on the leaves,False,True,False,0.025,0.026,38.619,5,14,"juice, milk",is,"less, orange"
19,9/1.jpg,the leaves fall on people,True,False,False,0.015,0.019,37.971,5,14,"milk, juice",is,"less, orange"
197,98/1.jpg,someone is on a vehicle spraying water towards the ground,False,True,False,0.024,0.025,34.639,6,12,"dirt, space, jar",is,"more, empty"
196,98/0.jpg,someone on the ground is spraying water towards a vehicle,True,False,False,0.027,0.027,35.047,7,6,"space, dirt, jar",is,"more, empty"
68,34/0.jpg,pointy bushes are behind rectangular bushes,False,True,False,0.015,0.015,37.096,7,0,"bit, milk, chocolate, chocolate",is,"less, white"
69,34/1.jpg,rectangular bushes are behind pointy bushes,True,False,False,0.023,0.024,37.006,7,2,"bit, chocolate, milk, chocolate",is,white
397,198/1.jpg,The kids see the pancake and the adult throws it,True,True,True,0.010,0.009,39.448,5,13,"person, dog","sits, stands",
396,198/0.jpg,The kid throws the pancake and the adult sees it,False,False,False,0.022,0.022,40.301,5,12,"person, dog","stands, sits",
144,72/0.jpg,it's a fire truck,True,True,True,0.014,0.013,35.956,10,19,"person, hair","lies, sleeps","more, facial, other"
145,72/1.jpg,it's a truck fire,False,False,False,0.011,0.011,36.035,11,27,"person, hair","sleeps, lies","more, facial, other, awake"
602,301/0.jpg,a dog is on a blanket with spots,True,True,True,0.024,0.028,35.656,8,3,"person, middle, others","is, floating, are, standing",
603,301/1.jpg,a blanket is on a dog with spots,False,False,False,0.020,0.020,35.488,8,12,"person, middle, others","is, standing, are, floating",
640,320/0.png,the cow is over the moon,True,True,True,0.012,0.010,33.981,15,12,"person, camera, weightlifts, person, camera, runs",,closer
641,320/1.png,the moon is over the cow,False,False,False,0.027,0.024,33.929,15,14,"person, camera, runs, person, camera, weightlifts",,closer
26,13/0.jpg,a caterpillar with some plants,False,True,False,0.021,0.019,33.818,11,8,"person, shirt, waters, plant","collared, holds","white, other"
27,13/1.jpg,a plant with some caterpillars,True,False,False,0.023,0.025,34.349,12,11,"person, shirt, plant, waters",holds,"white, collared, other"
354,177/0.jpg,ice being dumped on top of fish,True,True,True,0.018,0.016,37.341,14,12,"person, food, person, food","chops, eats","taller, shorter"
355,177/1.jpg,fish being dumped on top of ice,False,False,False,0.012,0.013,37.344,14,20,"person, food, person, food","eats, chops","taller, shorter"
637,318/1.jpg,one person wearing two scarfs,False,True,False,0.029,0.030,32.376,9,13,"person, ponytail, packs, stuff",buys,other
636,318/0.jpg,two persons wearing one scarf,True,False,False,0.019,0.019,33.235,9,18,"person, ponytail, stuff, packs",buys,other
115,57/1.jpg,the dough is eaten before someone bakes the dough,True,True,True,0.015,0.017,36.693,8,12,"person, field, flowers, dress",walking,"yellow, red"
114,57/0.jpg,someone bakes the dough before the dough is eaten,False,False,False,0.030,0.024,36.479,8,5,"person, field, flowers, dress",walking,"red, yellow"
786,393/0.jpg,head in the clouds,False,True,False,0.022,0.020,38.401,5,26,"dog, couch",is,"brown, white"
787,393/1.jpg,clouds in the head,True,False,False,0.021,0.020,37.736,4,27,"dog, couch",is,"white, brown"
171,85/1.jpg,the person is kissing a frog who is wearing a crown,False,True,False,0.026,0.025,38.236,5,22,"bird, berry",is,"blue, red"
170,85/0.jpg,the person who is wearing a crown is kissing a frog,True,False,False,0.016,0.014,38.297,5,18,"bird, berry",is,"red, blue"
139,69/1.jpg,one is in a boat and almost everyone is swimming,False,True,False,0.014,0.016,37.939,12,0,"book, book, book",is,"red, yellow, blue"
138,69/0.jpg,almost everyone is in a boat and one is swimming,True,False,False,0.031,0.026,37.860,12,0,"book, book, book",is,"yellow, blue, red"
669,334/1.jpg,that person hands off their dusting,True,True,True,0.030,0.029,37.854,7,0,"astronauts, suits, planet, background",,"blue, red"
668,334/0.jpg,that person dusting off their hands,False,False,False,0.019,0.020,37.559,7,0,"astronauts, suits, planet, background",,"red, blue"
649,324/1.jpg,plants for water,False,True,False,0.021,0.022,38.121,5,10,"table, base",has,"square, round"
648,324/0.jpg,water for plants,True,False,False,0.018,0.018,38.822,5,19,"round, table, base",has,square
768,384/0.jpg,a person supports a small chair,True,True,True,0.022,0.022,33.849,6,0,"bushes, bushes",are,"pointy, rectangular"
769,384/1.jpg,a chair supports a small person,False,False,False,0.035,0.029,34.713,6,0,"bushes, bushes",are,"rectangular, pointy"
433,216/1.jpg,boat below the water,False,True,False,0.014,0.014,37.373,6,15,"sign, sign",is,"circular, rectangular"
432,216/0.jpg,water below the boat,True,False,False,0.021,0.021,37.095,6,5,"sign, sign",is,"rectangular, circular"
742,371/0.jpg,an animal giving a person food,True,True,True,0.030,0.025,30.609,6,0,"wood, chess, piece, metal, objects",rests,
743,371/1.jpg,a person giving an animal food,False,False,False,0.005,0.016,30.691,6,0,"metal, chess, piece, wood, objects",rests,
684,342/0.jpg,darker things become light in stripes,False,True,False,0.020,0.019,32.935,5,2,"shoes, floor",are,"soft, smooth"
685,342/1.jpg,light things in stripes become darker,True,False,False,0.025,0.022,34.007,4,15,"shoes, floor",are,"smooth, soft"
799,399/1.jpg,someone is doing it over,True,True,True,0.017,0.019,38.083,7,10,"person, right, person, left","is, is","happy, sad"
798,399/0.jpg,someone is overdoing it,False,False,False,0.026,0.022,38.041,7,30,"person, right, person, left","is, is","sad, happy"
644,322/0.jpg,cat house,True,True,True,0.028,0.030,37.402,7,19,"person, left, person, right","is, is","hurt, helpful"
645,322/1.jpg,house cat,False,False,False,0.033,0.034,37.341,7,19,"person, left, person, right","is, is","helpful, hurt"
693,346/1.jpg,A curled small animal with hair,True,True,True,0.020,0.023,33.876,18,23,"content, person, food, content, person, food","has, has","more, healthier, less, healthy"
692,346/0.jpg,A small animal with curled hair,False,False,False,0.019,0.020,33.498,19,18,"content, person, food, content, person, food","has, has","healthier, healthy"
176,88/0.jpg,meat with potatoes,False,True,False,0.012,0.012,37.621,7,0,"lollipop, lollipop","is, is, surprised","orange, sad, red"
177,88/1.jpg,potatoes with meat,True,False,False,0.012,0.012,37.257,7,1,"lollipop, lollipop","is, surprised, is","orange, red, sad"
750,375/0.jpg,living things drinking,True,True,True,0.018,0.016,36.214,14,19,"person, person","wears, does","larger, yellow, smaller"
751,375/1.jpg,drinking living things,False,False,False,0.016,0.009,36.065,14,12,"person, person","wears, does","smaller, yellow, larger"
620,310/0.jpg,every bug has a leaf,True,True,True,0.026,0.026,38.354,5,18,"cat, dog",is,"big, small"
621,310/1.jpg,every leaf has a bug,False,False,False,0.014,0.021,38.446,5,16,"cat, dog",is,"small, big"
409,204/1.jpg,"just one table tennis racket, many a ball",False,True,False,0.026,0.019,36.371,7,3,"oncoming, traffic, light, traffic","is, contrasted","heavy, outgoing"
408,204/0.jpg,"many a table tennis racket, just one ball",True,False,False,0.021,0.019,36.174,9,0,"light, traffic, traffic","is, contrasted","oncoming, heavy, outgoing"
759,379/1.jpg,more than one flotation device carrying a person,True,True,True,0.022,0.019,40.794,4,5,"drink, day",,"cold, hot"
758,379/0.jpg,a person carrying more than one flotation device,False,False,False,0.014,0.014,40.577,4,16,"drink, day",,"hot, cold"
631,315/1.jpg,the pants is too big for the person,False,True,False,0.026,0.027,36.436,8,15,person,"is, drinking, eating",
630,315/0.jpg,the person is too big for the pants,True,False,False,0.024,0.023,33.356,7,13,person,"is, drinking, eating",
562,281/0.jpg,hot rubber and cool metal,True,True,True,0.020,0.023,36.666,7,14,"sailboat, sails, beach","close, is",
563,281/1.jpg,cool rubber and hot metal,False,False,False,0.021,0.009,36.969,6,5,"sailboat, beach","sails, is",close
449,224/1.jpg,fly fishing,True,True,True,0.022,0.024,33.240,12,15,"passenger, road, driver, road","is, riding, is, driving","inattentive, attentive"
448,224/0.jpg,fish flying,False,False,False,0.026,0.029,33.156,11,18,"passenger, road, driver, road","is, riding, is, driving","attentive, inattentive"
281,140/1.jpg,there are more people than trees,True,True,True,0.017,0.025,36.766,8,24,"hat, person","wears, does",
280,140/0.jpg,there are more trees than people,False,False,False,0.023,0.031,35.211,3,28,"person, hat","wears, does",
468,234/0.jpg,more humans than phones,True,True,True,0.019,0.021,36.187,15,6,"person, legs, one","is, running, runs","green, red, legged, faster"
469,234/1.jpg,more phones than humans,False,False,False,0.021,0.020,36.082,15,1,"person, legs, one","is, running, runs","green, faster, red, legged"
731,365/1.jpg,water running on an athlete,True,True,True,0.032,0.026,34.377,6,3,"person, water, sand",is,
730,365/0.jpg,an athlete running on water,False,False,False,0.021,0.021,34.554,5,4,"person, water, sand",is,close
492,246/0.jpg,cars of bits,True,True,True,0.027,0.026,33.513,6,1,"frog, rocks, water","is, are",
493,246/1.jpg,bits of cars,False,False,False,0.027,0.027,35.443,6,0,"frog, rocks, water","is, are",
99,49/1.jpg,the person wears a hat but it doesn't,True,True,True,0.017,0.016,36.682,6,7,"road, terrain",driving,unpaved
98,49/0.jpg,it wears a hat but the person doesn't,False,False,False,0.014,0.014,36.656,7,0,"road, terrain",driving,unpaved
204,102/0.jpg,real cat with toy baby,False,True,False,0.023,0.019,33.267,4,10,"someone, helicopter, car",is,
205,102/1.jpg,toy cat with real baby,True,False,False,0.019,0.020,31.447,4,4,"someone, helicopter, car",is,
421,210/1.jpg,more cars than bicycles,True,True,True,0.028,0.027,35.325,13,0,"one, one, one, green, one","fit, fit","green, blue, blue"
420,210/0.jpg,more bicycles than cars,False,False,False,0.014,0.013,35.182,12,1,"one, one, one, green, one","fit, fit","green, blue, blue"
435,217/1.png,the other one is faster than the one in front,True,True,True,0.027,0.027,37.217,5,4,"photographer, others",jumping,
434,217/0.jpg,the one in front is faster than the other one,False,False,False,0.025,0.023,36.957,5,14,"photographer, others",jumping,
495,247/1.jpg,the world on top of a person,False,True,False,0.026,0.027,37.307,6,8,"someone, dough, dough","bakes, is, eaten",
