image_path,augmented_image_path,caption,augmented_caption
images_folder/257.jpg,images_folder/257_aug.jpg,a white dog panting wearing a black hat,a black dog panting wearing a white hat
images_folder/335.jpg,images_folder/335_aug.jpg,some black cattle are grazing in a green field,some green cattle are grazing in a black field
images_folder/361.jpg,images_folder/361_aug.jpg,A large brown cow laying in a lush green field .,A large green cow laying in a lush brown field .
images_folder/428.jpg,images_folder/428_aug.jpg,A white ship sails in the blue ocean water .,A blue ship sails in the white ocean water .
images_folder/490.jpg,images_folder/490_aug.jpg,Brown and white dog laying down on a brown couch .,Brown and brown dog laying down on a white couch .
images_folder/545.jpg,images_folder/545_aug.jpg,Short brown horses have long black bushy tails .,Short black horses have long brown bushy tails .
images_folder/942.jpg,images_folder/942_aug.jpg,a brown teddy bear is sitting on a green bed,a green teddy bear is sitting on a brown bed
images_folder/968.jpg,images_folder/968_aug.jpg,A beautiful and black refrigerator in a white kitchen .,A beautiful and white refrigerator in a black kitchen .
images_folder/976.jpg,images_folder/976_aug.jpg,A wide blue vase is holding an orange daisy .,A wide orange vase is holding an blue daisy .
images_folder/1096.jpg,images_folder/1096_aug.jpg,a black cabinet in a white home bathroom,a white cabinet in a black home bathroom
images_folder/1126.jpg,images_folder/1126_aug.jpg,there is a small black table next to a white toilet,there is a small white table next to a black toilet
images_folder/1162.jpg,images_folder/1162_aug.jpg,A white space shuttle flies in a clear blue sky .,A blue space shuttle flies in a clear white sky .
images_folder/1228.jpg,images_folder/1228_aug.jpg,The red tow truck is pulling a yellow double decker bus .,The yellow tow truck is pulling a red double decker bus .
images_folder/1322.jpg,images_folder/1322_aug.jpg,A small yellow dog wearing a white hat .,A small white dog wearing a yellow hat .
images_folder/1325.jpg,images_folder/1325_aug.jpg,The flying white bird has black wing tips .,The flying black bird has white wing tips .
images_folder/1378.jpg,images_folder/1378_aug.jpg,a black cat is wearing a red scarf,a red cat is wearing a black scarf
images_folder/1528.jpg,images_folder/1528_aug.jpg,A close up of a white dog with a blue leash .,A close up of a blue dog with a white leash .
images_folder/1884.jpg,images_folder/1884_aug.jpg,A white computer keyboard sits on a gray desk top .,A gray computer keyboard sits on a white desk top .
images_folder/1984.jpg,images_folder/1984_aug.jpg,a smiling white female with black rimmed glasses,a smiling black female with white rimmed glasses
images_folder/2116.jpg,images_folder/2116_aug.jpg,A white bathroom is shown with a blue towel .,A blue bathroom is shown with a white towel .
images_folder/2126.jpg,images_folder/2126_aug.jpg,A black cat sits in a white bathroom sink .,A white cat sits in a black bathroom sink .
images_folder/2398.jpg,images_folder/2398_aug.jpg,A brown dog laying outside behind a blue truck .,A blue dog laying outside behind a brown truck .
images_folder/2409.jpg,images_folder/2409_aug.jpg,A black cat wearing a yellow bow tie .,A yellow cat wearing a black bow tie .
images_folder/2419.jpg,images_folder/2419_aug.jpg,An orange cat is lounging on a gray couch .,An gray cat is lounging on a orange couch .
